node_id,device_type,latitude,longitude,battery_level,status,signal_strength,last_seen,registered
NODE_0001,Emergency Beacon,40.714282,-74.003003,23,active,30,2026-07-23T16:25:12.708620+00:00,2026-07-23T16:25:12.708634+00:00
NODE_0002,Emergency Beacon,40.716641,-74.001268,96,active,65,2026-07-23T16:25:12.708652+00:00,2026-07-23T16:25:12.708654+00:00
NODE_0003,Smartphone,40.715805,-74.004192,8,active,94,2026-07-23T16:25:12.708665+00:00,2026-07-23T16:25:12.708667+00:00
NODE_0004,IoT Sensor,40.709454,-74.003524,61,active,90,2026-07-23T16:25:12.708674+00:00,2026-07-23T16:25:12.708675+00:00
NODE_0005,Laptop,40.712915,-74.005503,29,inactive,94,2026-07-23T16:25:12.708682+00:00,2026-07-23T16:25:12.708683+00:00
NODE_0006,Smartphone,40.708318,-74.004569,60,active,79,2026-07-23T16:25:12.708689+00:00,2026-07-23T16:25:12.708691+00:00
NODE_0007,Laptop,40.716815,-74.011041,6,active,96,2026-07-23T16:25:12.708700+00:00,2026-07-23T16:25:12.708702+00:00
NODE_0008,Smartphone,40.710064,-74.004963,99,active,78,2026-07-23T16:25:12.708708+00:00,2026-07-23T16:25:12.708709+00:00
NODE_0009,Smartphone,40.712114,-74.000687,46,inactive,34,2026-07-23T16:25:12.708716+00:00,2026-07-23T16:25:12.708718+00:00
NODE_0010,Tablet,40.713904,-74.004931,8,active,44,2026-07-23T16:25:12.708725+00:00,2026-07-23T16:25:12.708726+00:00
NODE_0011,IoT Sensor,40.710527,-74.009758,85,active,58,2026-07-23T16:25:12.708732+00:00,2026-07-23T16:25:12.708735+00:00
NODE_0012,Smartphone,40.708503,-74.003106,98,inactive,83,2026-07-23T16:25:12.708741+00:00,2026-07-23T16:25:12.708743+00:00
NODE_0013,Tablet,40.717009,-74.003833,18,active,45,2026-07-23T16:25:12.708749+00:00,2026-07-23T16:25:12.708751+00:00
NODE_0014,Laptop,40.712381,-74.002216,48,active,99,2026-07-23T16:25:12.708757+00:00,2026-07-23T16:25:12.708759+00:00
NODE_0015,IoT Sensor,40.714536,-74.00819,36,active,73,2026-07-23T16:25:12.708766+00:00,2026-07-23T16:25:12.708769+00:00
NODE_0016,IoT Sensor,40.708831,-74.007305,93,emergency,60,2026-07-23T16:25:12.708780+00:00,2026-07-23T16:25:12.708782+00:00
NODE_0017,IoT Sensor,40.709164,-74.011324,0,offline,0,2026-07-23T16:25:12.708787+00:00,2026-07-23T16:25:12.708789+00:00
NODE_0018,Smartphone,40.712078,-74.001031,10,active,65,2026-07-23T16:25:12.708795+00:00,2026-07-23T16:25:12.708796+00:00
